0	3.220155
64	3.443687
128	3.351351
192	3.372718
256	3.454465
320	3.638060
384	3.724602
448	3.618207
512	3.567768
576	3.667780
640	3.926033
704	3.843664
768	3.944203
832	3.832014
896	4.010392
960	4.077522
1024	4.079516
1088	4.120298
1152	4.168176
1216	4.367320
1280	4.529916
1344	4.394258
1408	4.450940
1472	4.588963
1536	4.687713
1600	4.926630
1664	5.078437
1728	4.836720
1792	4.864168
1856	5.233099
1920	5.057450
1984	5.080536
2048	5.187387
2112	5.418925
2176	5.061454
2240	5.756036
2304	5.658040
2368	5.777853
2432	5.815124
2496	5.748774
2560	5.474192
2624	5.475523
2688	5.456000
2752	5.266492
2816	5.164936
2880	5.078630
2944	4.994784
3008	4.909085
3072	4.793467
3136	4.650420
3200	4.595208
3264	4.550906
3328	4.535067
3392	4.378841
3456	4.367238
3520	4.240473
3584	4.194037
3648	4.162601
3712	4.128150
3776	4.016165
3840	3.916057
3904	3.893714
3968	3.835651
4032	3.762250
4096	3.732970
