0	2.487307
64	2.714697
128	3.001622
192	2.669214
256	2.677410
320	2.783988
384	2.572780
448	2.865069
512	3.318296
576	2.964293
640	2.747946
704	2.904965
768	2.842428
832	2.829958
896	2.880947
960	3.185499
1024	3.222300
1088	3.227562
1152	3.172803
1216	2.998101
1280	3.744624
1344	3.200766
1408	2.216728
1472	3.436021
1536	3.049394
1600	3.306699
1664	2.883156
1728	3.663744
1792	3.205191
1856	3.760978
1920	3.846510
1984	3.309369
2048	3.511466
2112	3.932377
2176	4.523574
2240	3.968495
2304	4.307842
2368	4.008627
2432	4.266765
2496	4.120458
2560	3.826465
2624	3.901773
2688	3.554760
2752	3.519874
2816	3.966920
2880	4.047338
2944	3.943072
3008	3.413210
3072	3.516522
3136	3.859554
3200	3.574587
3264	3.548817
3328	3.168501
3392	3.545011
3456	3.337591
3520	3.484929
3584	3.585076
3648	3.141307
3712	2.886773
3776	3.238493
3840	3.451524
3904	3.075936
3968	3.485674
4032	3.322216
0	2.605817
64	2.539816
128	2.656161
192	2.910355
256	2.652408
320	2.786707
384	3.250046
448	2.753468
512	3.042070
576	2.695599
640	2.900464
704	2.755298
768	2.726993
832	3.083129
896	3.230708
960	2.789517
1024	2.815647
1088	3.128371
1152	2.995496
1216	3.274784
1280	3.102673
1344	3.310478
1408	3.075607
1472	3.195323
1536	3.092577
1600	3.201497
1664	3.219013
1728	2.509816
1792	3.151356
1856	3.126244
1920	3.159291
1984	3.712306
2048	3.606068
2112	3.499838
2176	4.505081
2240	4.146169
2304	3.464065
2368	3.210062
2432	4.340648
2496	4.062547
2560	3.763418
2624	4.026726
2688	4.268534
2752	3.720515
2816	3.810549
2880	3.718307
2944	3.897489
3008	3.980400
3072	3.855742
3136	3.853649
3200	3.499589
3264	3.561565
3328	3.628491
3392	2.540538
3456	3.340839
3520	3.636856
3584	3.525692
3648	3.196054
3712	3.615651
3776	3.383310
3840	3.430838
3904	3.503861
3968	3.500735
4032	2.681008
4096	3.167868
